Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-02-13,17770.900390625,17880.69921875,17719.75,17859.099609375,231300,-0.0048052775756446476,-0.00479375070002519,-0.48052775756446475
2023-02-14,17929.849609375,17954.55078125,17800.05078125,17840.349609375,244500,0.008904589905162998,0.0089443537049958,0.8904589905162997
2023-02-15,18015.849609375,18034.099609375,17853.80078125,17896.599609375,229300,0.004785004379327248,0.004796470794436125,0.47850043793272484
2023-02-16,18035.849609375,18134.75,18000.650390625,18094.75,230200,0.00110951785824931,0.0011101336008929596,0.110951785824931
2023-02-17,17944.19921875,18034.25,17884.599609375,17974.849609375,208100,-0.005094522761127012,-0.005081567689351307,-0.5094522761127012
2023-02-20,17844.599609375,18004.349609375,17818.400390625,17965.55078125,174600,-0.005565979846782634,-0.005550518480140765,-0.5565979846782634
2023-02-21,17826.69921875,17924.900390625,17800.30078125,17905.80078125,198200,-0.0010036299610954843,-0.001003126492992057,-0.10036299610954842
2023-02-22,17554.30078125,17772.5,17529.44921875,17755.349609375,204000,-0.015398310946496917,-0.015280363131582653,-1.5398310946496918
2023-02-23,17511.25,17620.05078125,17455.400390625,17574.650390625,240800,-0.0024554471223785586,-0.002452434977984641,-0.24554471223785587
2023-02-24,17465.80078125,17599.75,17421.80078125,17591.349609375,209400,-0.002598803690668268,-0.002595429723749043,-0.2598803690668268
2023-02-27,17392.69921875,17451.599609375,17299.0,17428.599609375,246400,-0.004194194796816341,-0.004185411445805309,-0.4194194796816341
2023-02-28,17303.94921875,17440.44921875,17255.19921875,17383.25,420900,-0.005115779048087727,-0.0051027157362857345,-0.5115779048087727
2023-03-01,17450.900390625,17467.75,17345.25,17360.099609375,272900,0.008456491641293511,0.008492348770636093,0.8456491641293511
2023-03-02,17321.900390625,17445.80078125,17306.0,17421.5,310700,-0.007419626196212839,-0.007392168719804415,-0.7419626196212838
2023-03-03,17594.349609375,17644.75,17427.69921875,17451.25,356200,0.015606186138582535,0.015728598629827895,1.5606186138582536
2023-03-06,17711.44921875,17799.94921875,17671.94921875,17680.349609375,362800,0.006633473404126094,0.006655523618366965,0.6633473404126093
2023-03-08,17754.400390625,17766.5,17602.25,17665.75,267000,0.0024221155475668,0.0024250512391459367,0.24221155475668
2023-03-09,17589.599609375,17772.349609375,17573.599609375,17772.05078125,262400,-0.009325598438082557,-0.009282249899975281,-0.9325598438082557
2023-03-10,17412.900390625,17451.5,17324.349609375,17443.80078125,235900,-0.010096462811863625,-0.010045664635585094,-1.0096462811863625
2023-03-13,17154.30078125,17529.900390625,17113.44921875,17421.900390625,254900,-0.014962416687813755,-0.014851035931626178,-1.4962416687813755
